srcid,dstid,srcname,dstname
798358765384798208,1912717152,BangPanda1,AT_AbdillahToha
1251496122,1912717152,Fajry_A_R,AT_AbdillahToha
1190800737145507841,1456418561585418261,pelikjobs,profit8lue
1502261868399788033,124390203,aswangalihaswa1,beritaKBR
1502261868399788033,110312278,aswangalihaswa1,aniesbaswedan
1172037634383679489,20963426,Cozillar_Chrome,korantempo
1172037634383679489,20963426,Cozillar_Chrome,korantempo
1590532767434973189,224431376,RahmanjabirJ,Steven__Pegel
1113738855625007104,1258626853541052421,SayutiRaden2,ajengcute16__
1574018428163063809,80323736,RKIJ_Majalengka,ridwankamil
1574018428163063809,80323736,RKIJ_Majalengka,ridwankamil
1552510063742689280,1243804423001763841,ZulFajr16267743,democrazymedia
447412886,1839871,Udin_prabowo,anwaribrahim
447412886,40580714,Udin_prabowo,prabowo
447412886,110312278,Udin_prabowo,aniesbaswedan
1290569168664670210,1912717152,Cahbagus2341,AT_AbdillahToha
357495196,1174287141909590017,theo73ploRI,seruanhl
1172883421900627970,366987179,1404Stj,jokowi
368127512,1912717152,irfanhaqaaee,AT_AbdillahToha
1541998578805006336,1912717152,Retnowul8844,AT_AbdillahToha
3389576073,1258626853541052421,MBT_Utama,ajengcute16__
1344411835,3319260420,spirithardiesha,geloraco
1095491536320528384,1912717152,rianntears,AT_AbdillahToha
87632140,1174287141909590017,Paulus_willy,seruanhl
3246938070,1912717152,sersanqomar,AT_AbdillahToha
1339468468022693888,1912717152,DidiHermanto01,AT_AbdillahToha
223709269,20963426,kukuh_irianto,korantempo
405599909,1447610310529982467,cryptoholderrrr,TeddGus
405599909,1447610310529982467,cryptoholderrrr,TeddGus
515267329,1443801854756880385,gagah76,kba_news
1593239843546750976,1593239843546750976,kuatuntukNegeri,kuatuntukNegeri
1593242294408183812,1593242294408183812,MembangunIND,MembangunIND
1593237073267343363,1593237073267343363,Beritakita26,Beritakita26
1242484690642014216,1447610310529982467,Alwie42199133,TeddGus
1361953101796634629,46693036,Safitridede1,inilahdotcom
1057957886859468800,1447610310529982467,EffHariadi,TeddGus
1539462289342201856,1912717152,osmanbwy,AT_AbdillahToha
1435831176757796864,69183155,Sabani0275,detikcom
1574635979805114368,1447610310529982467,badoncl,TeddGus
1454306384091119617,1519324424679608322,steivi_torondek,Maruahalsiahaa2
1454306384091119617,1126547830754107392,steivi_torondek,M45Broo
1454306384091119617,1126547830754107392,steivi_torondek,M45Broo
1446489145950367745,1912717152,cahaya08nkri78,AT_AbdillahToha
997779086926790656,227320530,mutajir_mohamat,hipohan
56618769,20963426,Hery_Suhendra28,korantempo
56618769,20963426,Hery_Suhendra28,korantempo
1372502248635305984,1447610310529982467,Jonijon27123906,TeddGus
